CRN,Course,*Campus,Days,Date,Time,Location,Hrs,Type,Title,Instructor,Seats,Limit,Enroll,Waitlist,Course Fees,Catalog
"30913","CHEM 301-01","M","W","01/16/2023-05/09/2023","1700-1750","LOPEZ 216","1","CLAS","The Chemistry Toolbox","Sally C. Pias","4","10","6","0","N/A","Bookstore Link",
"30533","CHEM 332-01","M","M W F","01/16/2023-05/09/2023","1200-1250","LOPEZ 106","3","CLAS","Physical Chemistry II","Nicolas E. Holubowitch","6","20","14","0","N/A","Bookstore Link",
"30915","CHEM 332L-01","M","W","01/16/2023-05/09/2023","1400-1630","LOPEZ 127","1","CLAS","Physical Chemistry II Lab","Jeff A. Altig","2","8","6","0","$150","Bookstore Link",
,,,,,,,,,,"Nathan Conner",,,,,,,
"30925","CHEM 334-01","M","M W F","01/16/2023-05/09/2023","1300-1350","MSEC 195","3","CLAS","Organic Chemistry II","Ujith S. Madduma Bandarage","9","40","31","0","N/A","Bookstore Link",
"30926","CHEM 334L-01","M","T","01/16/2023-05/09/2023","1400-1630","LOPEZ 125","1","CLAS","Organic Chemistry II Lab","Jeff A. Altig","1","12","11","0","$150","Bookstore Link",
,,,,,,,,,,"Lumala Nelum Perera Naullage",,,,,,,
"30927","CHEM 334L-02","M","W","01/16/2023-05/09/2023","1400-1630","LOPEZ 125","1","CLAS","Organic Chemistry II Lab","Jeff A. Altig","8","12","4","0","$150","Bookstore Link",
,,,,,,,,,,"Fillipp Edvard L. Salvador",,,,,,,
"30928","CHEM 334L-03","M","M","01/16/2023-05/09/2023","1400-1630","LOPEZ 125","1","CLAS","Organic Chemistry II Lab","Jeff A. Altig","6","12","6","0","$150","Bookstore Link",
,,,,,,,,,,"Lumala Nelum Perera Naullage",,,,,,,
"31296","CHEM 343L-01","M","R","01/16/2023-05/09/2023","1400-1630","LOPEZ 127","1","CLAS","Descriptive Inorganic Chem Lab","Jeff A. Altig","7","12","5","0","$150","Bookstore Link",
